                     List of relations
 Schema |              Name              | Type  |  Owner   
--------+--------------------------------+-------+----------
 public | MY_TABLE                       | table | postgres
 public | account_type                   | table | postgres
 public | accounting_journal             | table | postgres
 public | accounting_line_amount_label   | table | postgres
 public | accounting_line_definition     | table | postgres
 public | accounting_rule                | table | postgres
 public | accounting_transaction_amount  | table | postgres
 public | activity                       | table | postgres
 public | agency                         | table | postgres
 public | agent_sign                     | table | postgres
 public | air_bkg                        | table | postgres
 public | air_booking                    | table | postgres
 public | air_taxes                      | table | postgres
 public | airline                        | table | postgres
 public | airport                        | table | postgres
 public | attached_file                  | table | postgres
 public | backup_travel_item             | table | postgres
 public | bill                           | table | postgres
 public | bill_journal_entry             | table | postgres
 public | bill_payment_made              | table | postgres
 public | bill_reconciliated             | table | postgres
 public | booking_remark                 | table | postgres
 public | booking_type                   | table | postgres
 public | branches                       | table | postgres
 public | bsp_booking                    | table | postgres
 public | car_booking                    | table | postgres
 public | chart_of_accounts              | table | postgres
 public | collection_share               | table | postgres
 public | commission_rule                | table | postgres
 public | consultant                     | table | postgres
 public | contact_person                 | table | postgres
 public | country                        | table | postgres
 public | country_airline                | table | postgres
 public | credit_note                    | table | postgres
 public | credit_note_journal_entry      | table | postgres
 public | credit_note_payment_made       | table | postgres
 public | currency                       | table | postgres
 public | custom_field                   | table | postgres
 public | customer                       | table | postgres
 public | customer_message               | table | postgres
 public | customers                      | table | postgres
 public | deadlock                       | table | postgres
 public | email_activity                 | table | postgres
 public | email_template                 | table | postgres
 public | exchange_rate                  | table | postgres
 public | expense                        | table | postgres
 public | fee                            | table | postgres
 public | fee_condition                  | table | postgres
 public | fee_rule                       | table | postgres
 public | handoff_log                    | table | postgres
 public | heading_account                | table | postgres
 public | hotel_booking                  | table | postgres
 public | inventory                      | table | postgres
 public | invoice                        | table | postgres
 public | invoice_credit_note            | table | postgres
 public | invoice_journal_entry          | table | postgres
 public | invoice_payment_received       | table | postgres
 public | ir_folder_link                 | table | postgres
 public | irs_import_filter              | table | postgres
 public | irs_share                      | table | postgres
 public | jailer_config                  | table | postgres
 public | jailer_dependency              | table | postgres
 public | jailer_entity                  | table | postgres
 public | jailer_graph                   | table | postgres
 public | jailer_set                     | table | postgres
 public | jailer_tmp                     | table | postgres
 public | journal_entry                  | table | postgres
 public | journal_entry_payment_made     | table | postgres
 public | journal_entry_payment_received | table | postgres
 public | ledger                         | table | postgres
 public | local_taxes                    | table | postgres
 public | message                        | table | postgres
 public | message_criteria               | table | postgres
 public | message_traveler               | table | postgres
 public | misc_booking                   | table | postgres
 public | opening_balance                | table | postgres
 public | opening_balance_entry          | table | postgres
 public | opening_balance_entry_detail   | table | postgres
 public | payment_made                   | table | postgres
 public | payment_received               | table | postgres
 public | payment_received_payment_made  | table | postgres
 public | permission                     | table | postgres
 public | pref_customer_transaction      | table | postgres
 public | product                        | table | postgres
 public | quote                          | table | postgres
 public | reconciliation                 | table | postgres
 public | request_car                    | table | postgres
 public | request_flight                 | table | postgres
 public | request_hotel                  | table | postgres
 public | request_misc                   | table | postgres
 public | role                           | table | postgres
 public | role_permission                | table | postgres
 public | segment                        | table | postgres
 public | sender_email                   | table | postgres
 public | sms_template                   | table | postgres
 public | supplier                       | table | postgres
 public | tax                            | table | postgres
 public | tax_rule                       | table | postgres
 public | template                       | table | postgres
 public | template_customer              | table | postgres
 public | terms_conditions               | table | postgres
 public | transaction_number             | table | postgres
 public | travel_item                    | table | postgres
 public | travel_request                 | table | postgres
 public | traveler                       | table | postgres
 public | traveler_preference            | table | postgres
 public | trip                           | table | postgres
 public | user                           | table | postgres
